Person,State,Situation,Order,Provides,Requires,Present,Text
c,day-1,main-story,1,,,c,I tried to divide the water by who needs it but some people didn't like that approach.
c,day-1,main-story,2,,,c,There are some in the group who feel that they are more valuable than the rest. 
c,day-1,main-story,3,,,c,"I see us all equal. We each have our part to play. Even ""outsiders"". We were all outsiders once. We could be again."
a,day-1,main-story,4,,,ac,Some people make themselves outsiders even when they are on the inside.
c,day-1,main-story,5,,,ac,"$a, any luck with the last 6 sectors?"
a,day-1,main-story,6,,,ac,Not really. I found a small group of houses. They had already been searched. I'm going back tomorrow.
c,day-1,main-story,7,,,ac,Did they have a well? Where did they get their water from?
a,day-1,main-story,8,,,ac,If they had one I didn't find it. 
x,day-1,drinking,1,,,abcde,"It's now time for ""The Drinking"". Everyone in the group who has water will drink."
a,day-3,drinking,1,,,abcde,"Time to drink again. Or not, as the case may be."
b,day-4,drinking,1,,,abcde,It is the appointed hour.
c,day-5,drinking,1,,,abcde,"OK, water time everybody."
d,day-6,drinking,1,,,abcde,"Ah, my favourite time of day."
e,day-7,drinking,1,,,abcde,Drink time.
a,day-8,drinking,1,,,abcde,Here we are again.
b,day-9,drinking,1,,,abcde,Time for The Drinking people.
c,day-10,drinking,1,,,abcde,Slim pickings on the water front.
d,day-11,drinking,1,,,abcde,Do we even have any water?
x,day-1,drinking,2,,,abcde,Drinking recovers some health. People who don't drink will likely lose some health.
x,day-1,drinking,3,,,abcde,Eventually people without water will die.
b,day-2,main-story,1,,,bd,"$d, you don't look well. Are you feeling OK?"
d,day-2,main-story,2,,,bd,"Yeah, yeah. Fit as a fiddle. Why wouldn't I be, living in this holiday resort?"
b,day-2,main-story,3,,,bd,You look flushed. Hot. Been working out in the fields?
d,day-2,main-story,4,,,bd,They don't plough themselves you know. You're welcome to come and help out. Or don't your delicate fingers take to outdoors work?
b,day-2,main-story,5,,,bd,How many days food do you think we have? Looks like this batch of potatos was the bigest yet.
d,day-2,main-story,6,,,bd,There weren't that many usable ones actually. I had to toss a bunch of them. Some insects or other have been eating at them.
b,day-2,drinking,1,,,abcde,And now we drink
e,day-3,main-story,1,,,ae,"I've seen you three days in a row going to the same sector, $a. You've found something."
a,day-3,main-story,2,,,ae,"No, there's nothing there. Just some houses. Mostly cleared already."
e,day-3,main-story,3,,,ae,So it takes you one day to search six sectors and three days to go through a few houses that have already been cleared! What gives?
a,day-3,main-story,4,,,ae,The pump on our well sounds like it is failing. I'm looking for parts. I have to go through all the houses in detail to see if they have something. It takes time.
e,day-3,main-story,5,,,ae,I thought they didn't have a well. Why would they have parts if they don't have a well? If you've found a well and aren't telling us about it ...
c,day-3,main-story,6,,,aec,"Calm down, $e. $a would tell us. What's would be gained by hiding this?"
e,day-3,main-story,7,,,aec,Just because you can't see a reason doesn't mean that it isn't there. 
c,day-4,main-story,1,,,bc,You've been cooped up by yourself for a while. What are you working on?
b,day-4,main-story,2,,,bc,I've been compiling some data on our group and found some interesting anomalies
b,day-4,main-story,3,,,bc,Here take a look
b,day-4,main-story,4,show-health-graph,,bc,
c,day-4,main-story,5,,,bc,What do you think it means? 
b,day-4,main-story,6,,,bc,I don't know. It's just data. I'm going to talk to $e about it.
c,day-4,main-story,7,,,bc,Why $e? Why not just talk to $a and $d? 
b,day-4,main-story,8,,,bc,I want an independent opinion. A second pair of eyes.
